"index","collection","packageId","granuleId","title","detailsLink","pdfLink","pdfSize","htmlLink","htmlSize","xmlLink","xmlSize","otherLink1","other1Size","otherLink2","other2Size","teaser","historical","publishdate"
"37","Congressional Record","CREC-2008-07-14","CREC-2008-07-14-pt1-PgS6670","REGARDING G8 SUMMIT IN JAPAN","https://www.govinfo.gov/app/details/CREC-2008-07-14/CREC-2008-07-14-pt1-PgS6670","https://www.govinfo.gov/content/pkg/CREC-2008-07-14/pdf/CREC-2008-07-14-pt1-PgS6670.pdf","233.2 KB","https://www.govinfo.gov/content/pkg/CREC-2008-07-14/html/CREC-2008-07-14-pt1-PgS6670.htm","15.5 KB","","0 B","","0 B","","0 B"," OFFICER. The clerk will report the resolution by title. The legislative clerk read as follows: A resolution (S. 612) expressing the sense of the Senate that President George W. Bush, President Dmitry Medvedev of the Russian Federation, and other participants in the 2008 Group of Eight (G8) Summit in Toyako, Hokkaido, Japan should work ...","","2008-07-14"
"38","Bulk Submission","GOVPUB-D101-PURL-LPS12083","","Theater Missile Defense in Japan: Implications for the U.S.-China-Japan Strategic Relationship","https://www.govinfo.gov/app/details/GOVPUB-D101-PURL-LPS12083","https://www.govinfo.gov/content/pkg/GOVPUB-D101-PURL-LPS12083/pdf/GOVPUB-D101-PURL-LPS12083.pdf","1.8 MB","","0 B","","0 B","","0 B","","0 B"," in this report are those of the author and do not necessarily reflect the official policy or position of the Department of the Army, the Department of Defense, or the U.S. Government. This report is cleared for public release; distribution is unlimited. ***** Comments pertaining to this report are invited and should be forwarded to: ...","","2000-01-01"
"39","Congressional Record","CREC-2020-01-07","CREC-2020-01-07-pt1-PgS34","Japan Trade Deal (Executive Session)","https://www.govinfo.gov/app/details/CREC-2020-01-07/CREC-2020-01-07-pt1-PgS34","https://www.govinfo.gov/content/pkg/CREC-2020-01-07/pdf/CREC-2020-01-07-pt1-PgS34.pdf","200.8 KB","https://www.govinfo.gov/content/pkg/CREC-2020-01-07/html/CREC-2020-01-07-pt1-PgS34.htm","3.3 KB","","0 B","","0 B","","0 B"," of the aisle to approach this coming legislative session with some optimism because there are some good things we can do. We come to the floor and we hear about Iran and we hear about Soleimani. There are differences of opinion there. I am one of those. I represent a major military post, and I know that so many of our men and women in uniform said...","","2020-01-07"
"40","Compilation of Presidential Documents","WCPD-2005-11-14","WCPD-2005-11-14-Pg1682","Interview With Japan's NHK Television","https://www.govinfo.gov/app/details/WCPD-2005-11-14/WCPD-2005-11-14-Pg1682","https://www.govinfo.gov/content/pkg/WCPD-2005-11-14/pdf/WCPD-2005-11-14-Pg1682.pdf","47.9 KB","https://www.govinfo.gov/content/pkg/WCPD-2005-11-14/html/WCPD-2005-11-14-Pg1682.htm","7.4 KB","","0 B","","0 B","","0 B","-Japan alliance coming up to your meeting with Prime Minister Koizumi next week. How would you define its significance? The President. First, I would define the relationship as a close relationship. I think people who follow my statements here in America about foreign policy know that I admire Prime Minister Koizumi a lot and consider him a close ...","","2005-11-08"
"41","Compilation of Presidential Documents","WCPD-1995-11-20","WCPD-1995-11-20-Pg2033-2","Interview With NHK Television of Japan","https://www.govinfo.gov/app/details/WCPD-1995-11-20/WCPD-1995-11-20-Pg2033-2","https://www.govinfo.gov/content/pkg/WCPD-1995-11-20/pdf/WCPD-1995-11-20-Pg2033-2.pdf","54.3 KB","https://www.govinfo.gov/content/pkg/WCPD-1995-11-20/html/WCPD-1995-11-20-Pg2033-2.htm","38.3 KB","","0 B","","0 B","","0 B"," The Japanese people are great- [[Page 2034]] ly disappointed that you have suddenly canceled your visit to Japan. Was it really inevitable? The President. Yes, it was inevitable. And let me begin by saying that I am greatly disappointed, more disappointed perhaps than I can even convey to you and through you to the Japanese people, to cancel this ...","","1995-11-17"
"42","Congressional Hearings","CHRG-105hhrg63468","CHRG-105hhrg63468","United States - Japan Trade Relations","https://www.govinfo.gov/app/details/CHRG-105hhrg63468/CHRG-105hhrg63468","https://www.govinfo.gov/content/pkg/CHRG-105hhrg63468/pdf/CHRG-105hhrg63468.pdf","4.0 MB","https://www.govinfo.gov/content/pkg/CHRG-105hhrg63468/html/CHRG-105hhrg63468.htm","121.8 KB","","0 B","","0 B","","0 B"," FIFTH CONGRESS SECOND SESSION JULY 15, 1998 Serial No. 105-105 Printed for the use of the Committee on Ways and Means U.S. GOVERNMENT PRINTING OFFICE 63-468 WASHINGTON : 2000 COMMITTEE ON WAYS AND MEANS BILL ARCHER, Texas, Chairman PHILIP M. CRANE, Illinois CHARLES B. RANGEL, New York BILL THOMAS, California FORTNEY PETE STARK, California E. CLAY...","","1998-07-15"
"43","Congressional Record","CREC-2024-04-12","CREC-2024-04-12-pt1-PgH2361-6","ADDRESSING U.S.-JAPAN TRADE DEFICITS","https://www.govinfo.gov/app/details/CREC-2024-04-12/CREC-2024-04-12-pt1-PgH2361-6","https://www.govinfo.gov/content/pkg/CREC-2024-04-12/pdf/CREC-2024-04-12-pt1-PgH2361-6.pdf","230.2 KB","https://www.govinfo.gov/content/pkg/CREC-2024-04-12/html/CREC-2024-04-12-pt1-PgH2361-6.htm","14.2 KB","","0 B","","0 B","","0 B"," Kaptur) is recognized for 60 minutes as the designee of the minority leader. Ms. KAPTUR. Mr. Speaker, considering the visit this week from His Excellency Kishida Fumio, Prime Minister of Japan, I rise to thank both him and his country's commitment to our deepening alliance of liberty. I also rise to discuss where I believe there is room for ...","","2024-04-12"
"44","Congressional Record","CREC-1995-05-09","CREC-1995-05-09-pt1-PgS6322","UNITED STATES-JAPAN TRADE RELATIONS","https://www.govinfo.gov/app/details/CREC-1995-05-09/CREC-1995-05-09-pt1-PgS6322","https://www.govinfo.gov/content/pkg/CREC-1995-05-09/pdf/CREC-1995-05-09-pt1-PgS6322.pdf","197.7 KB","https://www.govinfo.gov/content/pkg/CREC-1995-05-09/html/CREC-1995-05-09-pt1-PgS6322.htm","65.5 KB","","0 B","","0 B","","0 B",". I have the clearance from them to take up the resolution and proceed with its immediate consideration. I therefore send a Senate resolution to the desk and I ask unanimous consent that the Senate proceed to its immediate consideration. The PRESIDING OFFICER. Without objection, it is so ordered. The clerk will read the resolution by title...","","1995-05-09"
"45","Congressional Record","CREC-2007-08-02","CREC-2007-08-02-pt1-PgE1698-3","GOVERNMENT OF JAPAN TO APOLOGIZE","https://www.govinfo.gov/app/details/CREC-2007-08-02/CREC-2007-08-02-pt1-PgE1698-3","https://www.govinfo.gov/content/pkg/CREC-2007-08-02/pdf/CREC-2007-08-02-pt1-PgE1698-3.pdf","161.3 KB","https://www.govinfo.gov/content/pkg/CREC-2007-08-02/html/CREC-2007-08-02-pt1-PgE1698-3.htm","2.3 KB","","0 B","","0 B","","0 B","I rise today in support of H. Res. 121 to call on the Japanese government to formally and unequivocally acknowledge, apologize, and accept historical responsibility for its Imperial Army's coercion of young women, known as ``comfort women,'' into sexual slavery during the World War II era. I would first like to commend my distinguished colleague, ...","","2007-08-02"
"46","Congressional Record","CREC-2004-11-19","CREC-2004-11-19-pt2-PgS11617","THE NISEI INTELLIGENCE WAR AGAINST JAPAN","https://www.govinfo.gov/app/details/CREC-2004-11-19/CREC-2004-11-19-pt2-PgS11617","https://www.govinfo.gov/content/pkg/CREC-2004-11-19/pdf/CREC-2004-11-19-pt2-PgS11617.pdf","133.0 KB","https://www.govinfo.gov/content/pkg/CREC-2004-11-19/html/CREC-2004-11-19-pt2-PgS11617.htm","14.0 KB","","0 B","","0 B","","0 B"," Mercy'' as the most savage, bitterly fought racial war in history. Caught in between this epic struggle as innocent victims were the Nisei, American citizens of Japanese ancestry, who were neither accepted nor trusted by both America and Japan. The widespread question and doubt as to their loyalty to America extended to grave uncertainty of ...","","2004-11-19"
"47","Congressional Hearings","CHRG-109shrg33729","CHRG-109shrg33729","A Review of U.S.-Japan Relations","https://www.govinfo.gov/app/details/CHRG-109shrg33729/CHRG-109shrg33729","https://www.govinfo.gov/content/pkg/CHRG-109shrg33729/pdf/CHRG-109shrg33729.pdf","298.9 KB","https://www.govinfo.gov/content/pkg/CHRG-109shrg33729/html/CHRG-109shrg33729.htm","238.1 KB","","0 B","","0 B","","0 B"," UNITED STATES SENATE ONE HUNDRED NINTH CONGRESS FIRST SESSION SEPTEMBER 29, 2005 Printed for the use of the Committee on Foreign Relations Available via the World Wide Web: http://www.access.gpo.gov/ Congress.senate U.S. GOVERNMENT PRINTING OFFICE WASHINGTON : 2007 33-729 PDF For Sale by the Superintendent of Documents, U.S. Government Printing...","","2005-09-29"
"48","Congressional Record","CREC-1994-10-06","CREC-1994-10-06-pt1-PgS55","JAPAN'S REFUSAL TO MEET REICHSBANKNOTES OBLIGATIONS","https://www.govinfo.gov/app/details/CREC-1994-10-06/CREC-1994-10-06-pt1-PgS55","","0 B","https://www.govinfo.gov/content/pkg/CREC-1994-10-06/html/CREC-1994-10-06-pt1-PgS55.htm","4.6 KB","","0 B","","0 B","","0 B",", earlier this year, Mr. Ye-Shin Lin, an American citizen and the U.S. representative for the Taiwanese Reichsbanknotes Creditors Association, gave me a compelling account of the Japanese Government's continued refusal to redeem notes that Japan issued to residents of Taiwan in 1924, during the period of Japanese rule. I wrote to the Japanese ...","","1994-10-06"
"49","Congressional Record","CREC-2011-03-14","CREC-2011-03-14-pt1-PgS1610-4","EARTHQUAKE AND TSUNAMI IN JAPAN","https://www.govinfo.gov/app/details/CREC-2011-03-14/CREC-2011-03-14-pt1-PgS1610-4","https://www.govinfo.gov/content/pkg/CREC-2011-03-14/pdf/CREC-2011-03-14-pt1-PgS1610-4.pdf","164.9 KB","https://www.govinfo.gov/content/pkg/CREC-2011-03-14/html/CREC-2011-03-14-pt1-PgS1610-4.htm","6.0 KB","","0 B","","0 B","","0 B",". Res. 101 which was introduced earlier today. The PRESIDING OFFICER. The clerk will report the resolution by title. The assistant legislative clerk read as follows: A resolution (S. Res. 101) expressing the sense of the Senate relating to the March 11, 2011, earthquake and tsunami in Japan. There being no objection, the Senate proceeded to ...","","2011-03-14"
"50","Federal Register","FR-1997-12-31","97-34033","Titanium Sponge From Japan, Kazakstan, Russia and Ukraine","https://www.govinfo.gov/app/details/FR-1997-12-31/97-34033","https://www.govinfo.gov/content/pkg/FR-1997-12-31/pdf/97-34033.pdf","114.1 KB","https://www.govinfo.gov/content/pkg/FR-1997-12-31/html/97-34033.htm","7.2 KB","","0 B","","0 B","","0 B"," to section 751(b) of the Tariff Act of 1930 (19 U.S.C. Sec. 1675(b)) (the Act), as amended by the Uruguay Round Agreements Act, P.L. 103-465 (1994), to review the affirmative determinations of the Commission and the U.S. Tariff Commission in the above investigations.<SUP>1</SUP> The purpose of the proposed review investigations is to determine ...","","1997-12-31"
"51","Congressional Committee Prints","CPRT-95SPRT25748O","CPRT-95SPRT25748O","Preliminary guide to export opportunities to Japan: containing information of general interest on expanding opportunities for U.S. exports to Japan.","https://www.govinfo.gov/app/details/CPRT-95SPRT25748O/CPRT-95SPRT25748O","https://www.govinfo.gov/content/pkg/CPRT-95SPRT25748O/pdf/CPRT-95SPRT25748O.pdf","69.6 MB","","0 B","","0 B","","0 B","","0 B"," Containing Information of General Interest on Expanding Opportunities for U.S. Exports to Japan COMMITTEE ON BANKING, HOUSING, AND URBAN AFFAIRS UNITED STATES SENATE Printed for the use of the Committee on Banking, Housing, and Urban Affairs 26-748 O U.S. GOVERNMENT PRINTING OFFICE WASHINGTON : 1978 ever o s YHASiatJ rT13<U""iMU STAT*; COMMITTEE ON...","","1978-04-01"
"52","Congressional Record","CREC-2011-03-15","CREC-2011-03-15-pt1-PgH1803","EARTHQUAKE AND TSUNAMI THAT HIT JAPAN","https://www.govinfo.gov/app/details/CREC-2011-03-15/CREC-2011-03-15-pt1-PgH1803","https://www.govinfo.gov/content/pkg/CREC-2011-03-15/pdf/CREC-2011-03-15-pt1-PgH1803.pdf","143.0 KB","https://www.govinfo.gov/content/pkg/CREC-2011-03-15/html/CREC-2011-03-15-pt1-PgH1803.htm","4.7 KB","","0 B","","0 B","","0 B","McDERMOTT. Mr. Speaker, 4 days ago, a huge earthquake and tsunami hit Japan. I was sort of surprised last night when we came in and there was no resolution recognizing the problems of the Japanese people and the terror and the difficulties they are dealing with at this time. So I want to come today to rise in support of them as they cope with this ...","","2011-03-15"
"53","Bulk Submission","GOVPUB-D110-PURL-LPS59062","","Pastel: Deception in the Invasion of Japan","https://www.govinfo.gov/app/details/GOVPUB-D110-PURL-LPS59062","https://www.govinfo.gov/content/pkg/GOVPUB-D110-PURL-LPS59062/pdf/GOVPUB-D110-PURL-LPS59062.pdf","4.8 MB","","0 B","","0 B","","0 B","","0 B","c Mio f ~a FOREWORD In 1945, to end the Pacific war, American strategic plans foresaw an invasion of Japan's heavily defended home islands. Operations Olympic and Coronet, America's proposed landings on Kyushu and the Tokyo Plain, were the largest amphibious invasions ever planned. Although precluded by war's end, prep- arations for both were ...","","1988-01-01"
"54","Congressional Record","CREC-1995-07-18","CREC-1995-07-18-pt1-PgE1453-2","JAPAN APOLOGIZES TO COMFORT WOMEN","https://www.govinfo.gov/app/details/CREC-1995-07-18/CREC-1995-07-18-pt1-PgE1453-2","https://www.govinfo.gov/content/pkg/CREC-1995-07-18/pdf/CREC-1995-07-18-pt1-PgE1453-2.pdf","127.4 KB","https://www.govinfo.gov/content/pkg/CREC-1995-07-18/html/CREC-1995-07-18-pt1-PgE1453-2.htm","8.2 KB","","0 B","","0 B","","0 B",". Speaker, during World War II, the Japanese military was quite brutal in its conquests. They raped and pillaged their way across Asia. At some point the Japanese became concerned that the rapes would provoke a backlash against Japanese troops. Therefore, the military established comfort stations, wherever they went--from the Korean peninsula to ...","","1995-07-18"
"55","Congressional Record","CREC-2011-11-17","CREC-2011-11-17-pt1-PgS7782-2","WELCOMING AND COMMENDING THE GOVERNMENT OF JAPAN","https://www.govinfo.gov/app/details/CREC-2011-11-17/CREC-2011-11-17-pt1-PgS7782-2","https://www.govinfo.gov/content/pkg/CREC-2011-11-17/pdf/CREC-2011-11-17-pt1-PgS7782-2.pdf","232.8 KB","https://www.govinfo.gov/content/pkg/CREC-2011-11-17/html/CREC-2011-11-17-pt1-PgS7782-2.htm","12.4 KB","","0 B","","0 B","","0 B"," 333 which was submitted earlier today by Senator Feinstein. The PRESIDING OFFICER. The clerk will report the resolution by title. The bill clerk read as follows: A resolution (S. Res. 333) welcoming and commending the Government of Japan for extending an official apology to all United States former prisoners of war from the Pacific War and ...","","2011-11-17"
"56","Congressional Bills","BILLS-115hres236ih","","Recognizing the importance of the United States-Japan partnership and supporting the pursuit of closer trade ties between the United States and Japan.","https://www.govinfo.gov/app/details/BILLS-115hres236ih","https://www.govinfo.gov/content/pkg/BILLS-115hres236ih/pdf/BILLS-115hres236ih.pdf","229.6 KB","https://www.govinfo.gov/content/pkg/BILLS-115hres236ih/html/BILLS-115hres236ih.htm","6.7 KB","","0 B","https://www.govinfo.gov/content/pkg/BILLS-115hres236ih/xml/BILLS-115hres236ih.xml","9.0 KB","","0 B"," trade ties between the United States and Japan. IN THE HOUSE OF REPRESENTATIVES March 30, 2017 Mr. Smith of Nebraska (for himself, Mr. Yoho, Mr. Tiberi, Ms. Jenkins of Kansas, Mr. Bacon, Mr. Bost, Mr. Gibbs, Mr. King of Iowa, Mr. Marshall, Mr. Paulsen, Mr. Sensenbrenner, and Mrs. Wagner) submitted the following resolution; which was referred ...","","2017-03-30"
"57","Compilation of Presidential Documents","DCPD-200900910","","The President's News Conference With Prime Minister Yukio Hatoyama of Japan in Tokyo, Japan","https://www.govinfo.gov/app/details/DCPD-200900910","https://www.govinfo.gov/content/pkg/DCPD-200900910/pdf/DCPD-200900910.pdf","63.1 KB","https://www.govinfo.gov/content/pkg/DCPD-200900910/html/DCPD-200900910.htm","29.2 KB","","0 B","","0 B","","0 B"," Prime Minister Hatoyama. President Obama, I would like to welcome you to Japan. I'd like to express my heartfelt welcome to you. Is it very hard&mdash;despite the tragedy of the mass shooting in your country, that you have taken time out of your busy schedule to come and join us here today. We're very thankful for you&mdash;to you. And today we ...","","2009-11-13"
"58","Compilation of Presidential Documents","WCPD-1995-01-30","WCPD-1995-01-30-Pg93","Message to the Congress on Disaster Assistance to Japan","https://www.govinfo.gov/app/details/WCPD-1995-01-30/WCPD-1995-01-30-Pg93","https://www.govinfo.gov/content/pkg/WCPD-1995-01-30/pdf/WCPD-1995-01-30-Pg93.pdf","10.0 KB","https://www.govinfo.gov/content/pkg/WCPD-1995-01-30/html/WCPD-1995-01-30-Pg93.htm","1.6 KB","","0 B","","0 B","","0 B"," of Defense to provide appropriate disaster assistance to the Government of Japan in response to the devastating earthquake of January 17, 1995. As required by section 404 of title 10, United States Code, I am notifying the Congress that the United States commence disaster relief operations on January 18, 1995, at 11:06 p.m., eastern standard ...","","1995-01-20"
